=====================Batch 1=============================
download:0.809 sec., process:3.435 sec., upload:4.408 sec. 
download:2.44 sec., process:0.362 sec., upload:4.391 sec. 
download:3.539 sec., process:1.44 sec., upload:0.034 sec. 
download:3.704 sec., process:1.628 sec., upload:0.035 sec. 
download:0.799 sec., process:12.26 sec., upload:0.111 sec. 
download:3.705 sec., process:12.193 sec., upload:0.059 sec. 
download:1.861 sec., process:20.059 sec., upload:0.127 sec. 
download:0.335 sec., process:23.015 sec., upload:0.099 sec. 
download:0.89 sec., process:25.753 sec., upload:0.093 sec. 
download:2.216 sec., process:22.661 sec., upload:0.109 sec. 
download:2.461 sec., process:24.316 sec., upload:0.138 sec. 
download:2.846 sec., process:23.357 sec., upload:0.17 sec. 
download:1.513 sec., process:25.515 sec., upload:0.102 sec. 
download:1.703 sec., process:25.703 sec., upload:0.14 sec. 
download:2.323 sec., process:23.758 sec., upload:0.126 sec. 
download:0.646 sec., process:27.639 sec., upload:0.29 sec. 
download:4.592 sec., process:20.514 sec., upload:0.25 sec. 
download:0.627 sec., process:27.058 sec., upload:0.247 sec. 
download:1.823 sec., process:25.951 sec., upload:0.288 sec. 
download:0.757 sec., process:27.04 sec., upload:0.432 sec. 
download:1.866 sec., process:24.931 sec., upload:0.2 sec. 
download:1.537 sec., process:25.966 sec., upload:0.593 sec. 
download:4.406 sec., process:19.586 sec., upload:0.46 sec. 
download:1.715 sec., process:26.083 sec., upload:0.577 sec. 
download:2.313 sec., process:23.838 sec., upload:0.587 sec. 
download:1.837 sec., process:23.857 sec., upload:0.571 sec. 
download:1.952 sec., process:23.905 sec., upload:0.523 sec. 
download:1.833 sec., process:26.149 sec., upload:0.52 sec. 
download:2.155 sec., process:23.856 sec., upload:0.58 sec. 
download:3.75 sec., process:21.051 sec., upload:0.558 sec. 
download:4.352 sec., process:19.966 sec., upload:0.361 sec. 
download:2.008 sec., process:25.378 sec., upload:0.605 sec. 
download:0.418 sec., process:28.235 sec., upload:0.545 sec. 
download:2.023 sec., process:24.393 sec., upload:0.303 sec. 
download:1.46 sec., process:26.543 sec., upload:0.629 sec. 
download:2.52 sec., process:24.417 sec., upload:0.792 sec. 
download:2.226 sec., process:24.454 sec., upload:0.488 sec. 
download:1.065 sec., process:28.279 sec., upload:0.36 sec. 
download:3.778 sec., process:24.242 sec., upload:1.385 sec. 
download:4.71 sec., process:26.049 sec., upload:0.353 sec. 
download:4.122 sec., process:26.153 sec., upload:0.48 sec. 
download:4.34 sec., process:26.181 sec., upload:0.456 sec. 
download:4.188 sec., process:26.419 sec., upload:0.218 sec. 
download:4.295 sec., process:25.617 sec., upload:0.146 sec. 
download:4.19 sec., process:27.051 sec., upload:0.151 sec. 
download:3.759 sec., process:26.956 sec., upload:0.248 sec. 
download:4.388 sec., process:25.713 sec., upload:0.21 sec. 
download:4.628 sec., process:27.049 sec., upload:0.36 sec. 
download:4.907 sec., process:27.222 sec., upload:0.357 sec. 
download:3.542 sec., process:27.04 sec., upload:0.37 sec. 
download:4.303 sec., process:25.855 sec., upload:0.256 sec. 
download:0.12 sec., process:0.279 sec., upload:0.276 sec. 
download:4.388 sec., process:25.943 sec., upload:0.498 sec. 
download:3.552 sec., process:27.372 sec., upload:0.353 sec. 
download:4.383 sec., process:26.161 sec., upload:0.193 sec. 
download:3.644 sec., process:27.244 sec., upload:0.477 sec. 
download:4.606 sec., process:26.895 sec., upload:0.281 sec. 
download:4.45 sec., process:27.757 sec., upload:0.12 sec. 
download:4.313 sec., process:26.851 sec., upload:0.087 sec. 
download:3.779 sec., process:28.198 sec., upload:0.112 sec. 
download:4.557 sec., process:29.234 sec., upload:0.326 sec. 
download:6.028 sec., process:28.903 sec., upload:0.304 sec. 
download:4.39 sec., process:28.846 sec., upload:0.359 sec. 
download:0.203 sec., process:25.808 sec., upload:0.166 sec. 
download:0.212 sec., process:25.352 sec., upload:0.24 sec. 
download:4.294 sec., process:30.01 sec., upload:0.656 sec. 
download:4.51 sec., process:31.33 sec., upload:0.444 sec. 
download:0.202 sec., process:24.57 sec., upload:0.221 sec. 
download:0.246 sec., process:28.121 sec., upload:0.095 sec. 
download:0.25 sec., process:29.247 sec., upload:0.078 sec. 
download:0.262 sec., process:24.403 sec., upload:0.125 sec. 
download:0.484 sec., process:17.681 sec., upload:0.08 sec. 
download:0.466 sec., process:18.99 sec., upload:0.076 sec. 
download:0.205 sec., process:24.503 sec., upload:0.089 sec. 
download:0.193 sec., process:23.402 sec., upload:0.086 sec. 
download:0.29 sec., process:23.651 sec., upload:0.094 sec. 
download:1.161 sec., process:19.847 sec., upload:0.073 sec. 
download:0.365 sec., process:18.155 sec., upload:0.101 sec. 
download:0.203 sec., process:18.791 sec., upload:0.076 sec. 
download:0.444 sec., process:24.452 sec., upload:0.092 sec. 
download:0.235 sec., process:25.044 sec., upload:0.103 sec. 
download:0.415 sec., process:17.772 sec., upload:0.127 sec. 
download:0.812 sec., process:24.535 sec., upload:0.126 sec. 
download:1.154 sec., process:23.689 sec., upload:0.117 sec. 
download:0.854 sec., process:23.57 sec., upload:0.138 sec. 
download:0.137 sec., process:19.2 sec., upload:0.087 sec. 
download:0.536 sec., process:24.794 sec., upload:0.097 sec. 
download:0.905 sec., process:23.909 sec., upload:0.137 sec. 
download:0.131 sec., process:18.945 sec., upload:0.129 sec. 
download:0.931 sec., process:24.503 sec., upload:0.133 sec. 
download:0.849 sec., process:25.533 sec., upload:0.122 sec. 
download:1.003 sec., process:24.745 sec., upload:0.076 sec. 
download:0.677 sec., process:23.639 sec., upload:0.14 sec. 
download:0.698 sec., process:25.784 sec., upload:0.125 sec. 
download:0.763 sec., process:26.324 sec., upload:0.09 sec. 
download:0.646 sec., process:24.651 sec., upload:0.129 sec. 
download:1.035 sec., process:24.204 sec., upload:0.103 sec. 
download:1.009 sec., process:25.532 sec., upload:0.118 sec. 
download:0.773 sec., process:24.624 sec., upload:0.122 sec. 
download:0.882 sec., process:25.567 sec., upload:0.14 sec. 
download:0.407 sec., process:24.499 sec., upload:0.1 sec. 
download:0.563 sec., process:18.67 sec., upload:0.099 sec. 
download:0.695 sec., process:19.207 sec., upload:0.098 sec. 
download:0.511 sec., process:23.981 sec., upload:0.14 sec. 
download:1.098 sec., process:25.74 sec., upload:0.09 sec. 
download:0.576 sec., process:25.787 sec., upload:0.119 sec. 
download:0.766 sec., process:25.342 sec., upload:0.133 sec. 
download:0.299 sec., process:24.939 sec., upload:0.112 sec. 
download:0.515 sec., process:23.003 sec., upload:0.075 sec. 
download:0.436 sec., process:23.458 sec., upload:0.083 sec. 
download:0.591 sec., process:23.62 sec., upload:0.077 sec. 
download:0.329 sec., process:24.059 sec., upload:0.105 sec. 
download:1.041 sec., process:22.764 sec., upload:0.117 sec. 
download:0.612 sec., process:23.42 sec., upload:0.112 sec. 
download:0.661 sec., process:23.412 sec., upload:0.121 sec. 
download:0.584 sec., process:22.17 sec., upload:0.093 sec. 
download:0.765 sec., process:23.595 sec., upload:0.127 sec. 
download:0.707 sec., process:22.977 sec., upload:0.079 sec. 
download:0.678 sec., process:23.166 sec., upload:0.075 sec. 
download:0.562 sec., process:22.88 sec., upload:0.088 sec. 
download:0.23 sec., process:26.011 sec., upload:0.074 sec. 
download:0.585 sec., process:23.903 sec., upload:0.114 sec. 
download:0.541 sec., process:22.849 sec., upload:0.116 sec. 
download:0.326 sec., process:22.547 sec., upload:0.071 sec. 
download:0.206 sec., process:21.967 sec., upload:0.074 sec. 
download:0.982 sec., process:23.946 sec., upload:0.09 sec. 
download:0.917 sec., process:23.906 sec., upload:0.079 sec. 
download:0.219 sec., process:23.179 sec., upload:0.069 sec. 
download:0.227 sec., process:22.296 sec., upload:0.072 sec. 
download:0.223 sec., process:21.822 sec., upload:0.071 sec. 
download:0.21 sec., process:22.874 sec., upload:0.085 sec. 
download:0.303 sec., process:21.548 sec., upload:0.094 sec. 
download:0.327 sec., process:21.786 sec., upload:0.087 sec.

=====================Batch 2=============================
download:3.222 sec., process:2.044 sec., upload:2.64 sec. 
download:4.196 sec., process:1.116 sec., upload:0.035 sec. 
download:4.191 sec., process:10.069 sec., upload:0.072 sec. 
